id,size,weight,departure_time,type,slot
TLLU0652884,,26.25,2026-03-13T16:00:00,transshipment,
TLLU4201014,40.0,20.54,2026-03-16T20:00:00,import,
MSCU8159303,40.0,25.38,2026-03-13T12:00:00,import,
TLLU5674536,40.0,17.07,2026-03-06T10:00:00,import,
TLLU1472550,40.0,7.61,2026-03-12T20:00:00,export,
TCKU1637262,20.0,19.14,2026-03-13T20:00:00,import,
TLLU6299053,40.0,26.55,2026-03-07T22:00:00,import,
MSCU2994540,20.0,14.08,2026-03-16T10:00:00,export,
TCKU5198156,40.0,14.49,2026-03-19T10:00:00,transit,
MRKU4122159,20.0,9.2,2026-03-07T10:00:00,export,
MRKU8135911,20.0,16.49,2026-03-18T22:00:00,export,
MRKU3152814,20.0,23.94,2026-03-08T14:00:00,transit,
TCKU4414918,20.0,17.19,2026-03-17T08:00:00,import,
MRKU8755006,20.0,5.69,2026-03-12T06:00:00,export,
CMAU7036491,40.0,7.25,2026-03-11T20:00:00,export,
TCKU3367103,20.0,18.24,2026-03-10T12:00:00,transshipment,
CMAU4788316,40.0,13.04,2026-03-15T10:00:00,transshipment,
TLLU4665363,40.0,20.03,2026-03-24T12:00:00,transshipment,
CMAU7614020,10.0,6.79,2026-03-06T22:00:00,export,
MSCU2006020,40.0,17.82,2026-03-25T18:00:00,export,
TCKU9420359,40.0,25.8,2026-03-20T06:00:00,import,
CMAU3032127,40.0,16.44,2026-03-10T16:00:00,export,
TCKU1172951,20.0,16.61,2026-03-06T16:00:00,export,
TLLU3836875,40.0,,2026-03-17T12:00:00,import,
CMAU8431038,20.0,15.19,2026-03-22T16:00:00,import,
TLLU4461073,10.0,29.05,2026-03-21T14:00:00,transshipment,
MSCU9282632,40.0,9.25,2026-03-14T18:00:00,transit,
TLLU7434929,40.0,9.45,2026-03-23T12:00:00,import,
MRKU6590744,45.0,12.05,2026-03-18T12:00:00,export,
TCKU9761628,40.0,8.36,2026-03-11T10:00:00,export,
MSCU8121580,40.0,17.21,2026-03-12T10:00:00,import,
CMAU6383513,40.0,5.82,2026-03-21T12:00:00,export,
MRKU3835673,40.0,10.68,2026-03-15T20:00:00,unknown,
TLLU4846707,40.0,21.62,2026-03-12T06:00:00,import,
CMAU7655642,20.0,24.78,2026-03-23T14:00:00,transshipment,
TCKU7436790,40.0,16.8,2026-03-13T06:00:00,export,
TLLU0721128,40.0,21.06,2026-03-17T18:00:00,export,
MSCU1974723,20.0,26.99,2026-03-23T10:00:00,import,
CMAU4504333,40.0,9.48,2026-03-16T14:00:00,export,
MRKU0883852,40.0,6.06,2026-03-21T14:00:00,export,
CMAU4580333,40.0,11.71,2026-03-07T12:00:00,damaged,
MSCU1773357,40.0,6.64,2026-03-12T22:00:00,export,
TLLU3167340,20.0,18.18,2026-03-19T18:00:00,import,
MSCU7783470,40.0,21.64,2026-03-09T08:00:00,import,
TCKU1741854,20.0,,2026-03-23T08:00:00,export,
MRKU9460528,53.0,22.15,2026-03-06T10:00:00,import,
TCKU0847925,40.0,13.07,2026-03-10T08:00:00,import,
TCKU6408351,40.0,27.8,2026-03-12T16:00:00,import,
MRKU9355157,20.0,21.39,2026-03-25T22:00:00,empty,
TLLU0730712,20.0,11.9,2026-03-24T06:00:00,import,
CMAU8684171,40.0,20.64,2026-03-17T16:00:00,export,
TCKU5168613,40.0,5.59,2026-03-18T12:00:00,export,
MSCU7274991,40.0,22.72,2026-03-18T16:00:00,empty,
TLLU5550583,40.0,19.55,2026-03-13T06:00:00,export,
CMAU0603337,40.0,17.04,2026-03-12T22:00:00,import,
MRKU5658316,20.0,23.07,2026-03-12T16:00:00,transshipment,
CMAU0723037,20.0,21.33,2026-03-17T22:00:00,export,
MRKU9350551,40.0,24.97,2026-03-16T08:00:00,export,
MRKU3041128,40.0,26.98,2026-03-13T14:00:00,import,
TCKU7719461,20.0,15.26,2026-03-21T12:00:00,transshipment,
TCKU9840680,20.0,9.33,2026-03-11T18:00:00,export,
TLLU3248021,40.0,13.35,2026-03-08T10:00:00,export,
MSCU6501071,20.0,16.37,2026-03-15T10:00:00,import,
CMAU0435698,40.0,11.53,2026-03-05T14:00:00,import,
TLLU1586311,40.0,8.84,2026-03-14T10:00:00,import,
MSCU7079930,20.0,15.69,2026-03-17T22:00:00,import,
MSCU4271925,20.0,16.72,2026-03-24T06:00:00,export,
MRKU9486984,40.0,26.27,2026-03-06T22:00:00,import,
MRKU4630158,40.0,14.62,2026-03-06T12:00:00,import,
MRKU7676987,20.0,15.41,2026-03-06T18:00:00,import,
TCKU9941504,40.0,10.53,2026-03-20T22:00:00,export,
TLLU9036673,40.0,9.46,2026-03-07T06:00:00,export,
CMAU5564898,40.0,27.62,2026-03-07T08:00:00,import,
CMAU4134870,20.0,10.88,2026-03-25T16:00:00,export,
TCKU6878939,40.0,9.02,2026-03-08T22:00:00,export,
TCKU2838318,20.0,18.67,2026-03-05T08:00:00,import,
MRKU9671094,40.0,17.08,2026-03-17T12:00:00,export,
MRKU8437462,40.0,10.14,2026-03-16T10:00:00,import,
MRKU0796242,10.0,27.57,2026-03-23T12:00:00,import,
TLLU6309313,40.0,15.33,2026-03-22T18:00:00,export,
TCKU1127695,20.0,,2026-03-19T18:00:00,export,
MSCU1842821,40.0,20.85,2026-03-14T18:00:00,empty,
TLLU1032927,40.0,14.1,2026-03-21T08:00:00,export,
MSCU8786234,40.0,15.07,2026-03-21T16:00:00,import,
MRKU0760984,53.0,20.8,2026-03-16T08:00:00,import,
MSCU1270150,20.0,11.28,2026-03-07T10:00:00,export,
TLLU4066272,20.0,18.06,2026-03-22T22:00:00,import,
TLLU8255160,20.0,12.96,2026-03-17T14:00:00,import,
MRKU6679006,40.0,27.67,2026-03-05T08:00:00,transshipment,
TLLU7016270,20.0,22.31,2026-03-22T06:00:00,unknown,
MSCU0417386,40.0,20.07,2026-03-19T12:00:00,export,
TLLU8395224,20.0,21.48,2026-03-15T12:00:00,import,
CMAU1691839,30.0,20.46,2026-03-06T12:00:00,import,
MRKU7096023,20.0,22.63,2026-03-07T08:00:00,import,
CMAU6347345,20.0,11.68,2026-03-15T10:00:00,import,
TLLU1224056,40.0,14.87,2026-03-21T12:00:00,export,
TLLU0130656,40.0,13.36,2026-03-22T14:00:00,export,
MSCU3325879,45.0,24.23,2026-03-17T10:00:00,import,
TCKU7086189,40.0,,2026-03-24T20:00:00,import,
TCKU2491817,20.0,11.42,2026-03-19T22:00:00,import,
MSCU3085375,20.0,23.8,2026-03-14T08:00:00,export,
TCKU3737128,20.0,26.2,2026-03-13T20:00:00,import,
TLLU3845805,20.0,13.92,2026-03-12T16:00:00,transshipment,
TLLU6076424,40.0,23.82,2026-03-16T16:00:00,import,
MSCU3066533,40.0,15.26,2026-03-11T14:00:00,export,
TCKU8566074,45.0,20.97,2026-03-06T12:00:00,import,
MRKU4870236,40.0,13.56,2026-03-20T08:00:00,export,
TLLU0434721,40.0,19.02,2026-03-24T20:00:00,transshipment,
MRKU9039431,40.0,27.7,2026-03-18T12:00:00,empty,
TCKU4692822,40.0,27.13,2026-03-09T14:00:00,transshipment,
CMAU9133601,20.0,16.05,2026-03-06T14:00:00,import,
TLLU7380732,45.0,18.81,2026-03-17T16:00:00,import,
MSCU9251151,40.0,27.65,2026-03-13T12:00:00,import,
TCKU2981632,40.0,19.32,2026-03-11T08:00:00,export,
MSCU7348662,20.0,20.52,2026-03-10T06:00:00,import,
MRKU1867036,20.0,24.3,2026-03-24T22:00:00,transshipment,
MRKU3243146,20.0,9.79,2026-03-11T06:00:00,import,
CMAU6237070,20.0,15.71,2026-03-21T22:00:00,import,
TCKU0030162,20.0,21.41,2026-03-24T20:00:00,export,
MSCU3558255,40.0,8.67,2026-03-22T20:00:00,export,
MRKU7850523,20.0,18.42,2026-03-20T14:00:00,transshipment,
MSCU4296735,20.0,14.28,2026-03-14T14:00:00,import,
CMAU1097742,40.0,25.36,2026-03-16T18:00:00,transshipment,
MRKU5815456,20.0,10.26,2026-03-17T16:00:00,import,
MRKU9570522,30.0,19.04,2026-03-24T08:00:00,import,
TLLU7675881,20.0,23.53,2026-03-20T20:00:00,transshipment,
MSCU3660443,40.0,11.93,2026-03-18T20:00:00,export,
CMAU2727280,40.0,92.52,2026-03-25T18:00:00,import,
MSCU1253790,53.0,27.48,2026-03-15T22:00:00,transshipment,
TLLU9036569,20.0,22.48,2026-03-19T08:00:00,export,
MRKU1122934,20.0,18.28,2026-03-14T06:00:00,export,
TLLU7904713,20.0,24.39,2026-03-10T20:00:00,import,
CMAU4362367,20.0,10.6,2026-03-11T08:00:00,export,
TCKU2207029,20.0,10.58,2026-03-22T22:00:00,damaged,
MSCU5869136,20.0,12.94,2026-03-06T14:00:00,transit,
TCKU3064191,45.0,13.83,2026-03-18T10:00:00,export,
CMAU5869417,40.0,16.91,2026-03-22T14:00:00,import,
MSCU6660750,40.0,26.41,2026-03-19T22:00:00,import,
MSCU3539759,40.0,9.23,2026-03-18T08:00:00,import,
TLLU1524209,20.0,10.72,2026-03-25T08:00:00,import,
TCKU0680575,40.0,11.1,2026-03-19T08:00:00,export,
TCKU0485548,40.0,11.35,2026-03-19T18:00:00,export,
MSCU3385449,20.0,21.63,2026-03-17T16:00:00,damaged,
CMAU5603966,20.0,9.87,2026-03-21T10:00:00,import,
TLLU1307345,20.0,25.29,2026-03-20T08:00:00,import,
TLLU6122648,40.0,8.89,2026-03-14T06:00:00,import,
CMAU1761501,53.0,20.74,2026-03-15T08:00:00,export,
TCKU2046766,40.0,23.68,2026-03-18T22:00:00,transshipment,
CMAU8058403,20.0,14.19,2026-03-16T08:00:00,export,
MSCU2976134,40.0,7.16,2026-03-19T12:00:00,export,
CMAU3166330,40.0,99.54,2026-03-17T08:00:00,export,
MRKU9628464,40.0,17.47,2026-03-09T22:00:00,export,
TCKU1377036,40.0,17.42,2026-03-12T12:00:00,export,
